# Comments starts with '#' and the line will be ignored when reading,,,,,
# Command, start with pipe '|',,,,
# Empty lines will be ignored when reading,,,,,
# CSV format for data plot,,,,,
# Double quote is not allowed, use single quote instead
#  Type of plot,,,,,
| type=trace
# Plot data specification
| x = time
| y = voltage
| xunit = ms
| yunit = mV
# Data Table: No meta parameters should be defined beyond data table,,,,,
time,voltage,current
66.8,-50.1765,0.62502
66.9,-50.164,3.4376
67,-50.1265,2.5001
67.1,-50.1078,2.5001
67.2,-50.1015,4.6876
67.3,-50.1015,3.7501
67.4,-50.0828,4.3751
67.5,-50.089,2.5001
67.6,-50.0828,4.0626
67.7,-50.0953,3.1251
67.8,-50.089,2.5001
67.9,-50.0828,1.5625
68,-50.0578,2.5001
68.1,-50.0515,2.1876
68.2,-50.0453,2.5001
68.3,-50.0515,3.4376
68.4,-50.014,1.25
68.5,-50.0203,1.8751
68.6,-50.0015,2.8126
68.7,-49.9765,2.5001
68.8,-49.964,1.25
68.9,-49.939,2.5001
69,-49.9265,0.62502
69.1,-49.9015,0.93753
69.2,-49.8703,2.5001
69.3,-49.8203,0
69.4,-49.7765,1.25
69.5,-49.7078,1.5625
69.6,-49.6953,3.7501
69.7,-49.6828,3.7501
69.8,-49.6515,3.1251
69.9,-49.639,3.4376
70,-49.5953,2.5001
70.1,-49.5703,1.5625
70.2,-49.5265,1.25
70.3,-49.5015,1.8751
70.4,-49.464,1.8751
70.5,-49.414,1.25
70.6,-49.3828,2.8126
70.7,-49.3515,3.1251
70.8,-49.314,0.93753
70.9,-49.2765,2.8126
71,-49.2515,3.4376
71.1,-49.2453,3.4376
71.2,-49.189,1.25
71.3,-49.1515,1.25
71.4,-49.114,2.5001
71.5,-49.0765,0.62502
71.6,-49.0015,0
71.7,-48.9577,1.25
71.8,-48.9452,5.0002
71.9,-48.914,3.4376
72,-48.8952,2.8126
72.1,-48.864,3.4376
72.2,-48.864,4.0626
72.3,-48.8202,1.25
72.4,-48.7952,3.1251
72.5,-48.7452,0.62502
72.6,-48.714,2.8126
72.7,-48.6952,1.25
72.8,-48.6577,4.0626
72.9,-48.614,0.31251
73,-48.5765,1.5625
73.1,-48.514,0
73.2,-48.4952,3.7501
73.3,-48.4827,3.7501
73.4,-48.4015,0
73.5,-48.3515,0.93753
73.6,-48.289,0.62502
73.7,-48.2452,2.8126
73.8,-48.2015,2.5001
73.9,-48.164,3.1251
74,-48.1327,4.3751
74.1,-48.0827,1.5625
74.2,-48.0015,-0.31251
74.3,-47.9765,2.5001
74.4,-47.9327,5.0002
74.5,-47.9265,5.0002
74.6,-47.9015,1.8751
74.7,-47.8577,1.8751
74.8,-47.8327,3.1251
74.9,-47.8015,1.25
75,-47.7327,0.31251
75.1,-47.6827,2.5001
75.2,-47.664,1.5625
75.3,-47.6202,2.8126
75.4,-47.5765,2.8126
75.5,-47.5452,3.4376
75.6,-47.5202,2.5001
75.7,-47.4889,1.8751
75.8,-47.4327,1.5625
75.9,-47.3952,1.25
76,-47.3202,-0.31251
76.1,-47.2202,-0.62502
76.2,-47.1514,1.25
76.3,-47.0827,1.5625
76.4,-47.0014,2.8126
76.5,-46.8889,0
76.6,-46.8139,1.5625
76.7,-46.7702,4.0626
76.8,-46.7202,5.3127
76.9,-46.6764,4.6876
77,-46.6139,3.7501
77.1,-46.5514,0
77.2,-46.4577,0
77.3,-46.3577,0
77.4,-46.2577,0
77.5,-46.1577,1.8751
77.6,-46.1014,3.4376
77.7,-45.9952,1.25
77.8,-45.8701,-0.93753
77.9,-45.7514,2.5001
78,-45.6639,0.93753
78.1,-45.5514,1.25
78.2,-45.3889,-1.8751
78.3,-45.2326,-1.8751
78.4,-45.0764,0.31251
78.5,-44.8764,-1.25
78.6,-44.6701,-4.0626
78.7,-44.3639,-3.1251
78.8,-44.0388,-5.6252
78.9,-43.7076,-7.8127
79,-43.2576,-11.5629
79.1,-42.6763,-18.1256
79.2,-41.4888,-48.7515
79.3,-38.2449,-190.0058
79.4,-32.0447,-388.4494
79.5,-23.4445,-478.7646
79.6,-13.3942,-464.0767
79.7,-3.5626,-304.6968
79.8,4.8001,-81.2525
79.9,11.3066,113.1285
80,16.0192,237.8198
80.1,19.0443,308.4469
80.2,20.6319,335.0102
80.3,21.0069,330.0101
80.4,20.4756,305.0093
80.5,19.2006,270.0082
80.6,17.3943,225.6319
80.7,15.3442,174.0678
80.8,13.1879,125.0038
80.9,11.0003,87.8152
81,8.8003,58.7518
81.1,6.6315,36.2511
81.2,4.5626,18.4381
81.3,2.4876,10.0003
81.4,0.45001,5.0002
81.5,-1.4813,-4.6876
81.6,-3.3064,-9.6878
81.7,-5.0627,-11.8754
81.8,-6.7377,-14.0629
81.9,-8.3878,-11.5629
82,-10.0066,-10.0003
82.1,-11.6191,-6.2502
82.2,-13.2317,-2.5001
82.3,-14.8067,-0.93753
82.4,-16.438,0.31251
82.5,-18.0693,3.1251
82.6,-19.7256,5.6252
82.7,-21.4069,5.0002
82.8,-23.1195,6.5627
82.9,-24.8258,6.8752
83,-26.5258,5.0002
83.1,-28.2446,4.3751
83.2,-29.8884,-0.93753
83.3,-31.5135,-3.1251
83.4,-33.0823,-5.3127
83.5,-34.5386,-10.3128
83.6,-35.9198,-13.1254
83.7,-37.2324,-14.3754
83.8,-38.4949,-13.4379
83.9,-39.6575,-14.0629
84,-40.7512,-16.2505
84.1,-41.7575,-17.813
84.2,-42.7138,-14.3754
84.3,-43.6201,-13.4379
84.4,-44.5014,-11.2503
84.5,-45.2826,-13.1254
84.6,-46.0389,-10.3128
84.7,-46.7702,-10.0003
84.8,-47.4764,-7.1877
84.9,-48.1265,-8.7503
85,-48.7577,-5.9377
85.1,-49.3328,-5.9377
85.2,-49.9203,-4.6876
85.3,-50.4515,-5.9377
85.4,-50.9391,-6.2502
85.5,-51.4141,-5.3127
85.6,-51.9016,-3.4376
85.7,-52.3078,-5.3127
85.8,-52.7204,-3.4376
85.9,-53.1204,-2.8126
86,-53.5016,-2.5001
