Show,Cell,Episode,SweepWindow,Drug,DrugTime,WCTime,StimDescription,path,drug_level,has_hyperpolarizing,hyper_start_ms,hyper_end_ms,hyper_amp,depol_start_ms,depol_end_ms,depol_amp,depol_source,after_step_ms,stim_source,voltage_channel,n_spikes_post,first_spike_ms,last_spike_ms,persist_span_ms
1,Neocortex H.17Feb16,S1.E22,50000,,777.80078125,849.41015625,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 17 Feb 2016/Neocortex H.17Feb16.S1.E22.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,358,3296.100004412234,49913.800699070096,46913.800699070096
1,Neocortex H.17Feb16,S1.E23,50000,,907.00390625,978.61328125,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 17 Feb 2016/Neocortex H.17Feb16.S1.E23.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,385,3251.8000037521124,49939.900699459016,46939.900699459016
1,Neocortex H.17Feb16,S1.E30,50000,,1662.74609375,1734.35546875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 17 Feb 2016/Neocortex H.17Feb16.S1.E30.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,306,3466.700006954372,49970.20069991052,46970.20069991052
1,Neocortex H.17Feb16,S1.E31,50000,,1933.71484375,2005.32421875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 17 Feb 2016/Neocortex H.17Feb16.S1.E31.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,294,3513.0000076442957,49945.70069954544,46945.70069954544
1,Neocortex H.22Sep16,S1.E8,40000,2uM CCh,441.78125,471.07421875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex H.22Sep16.S1.E8.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,37000.0,StimulusA,A,163,3536.600007995963,39887.10054966062,36887.10054966062
1,Neocortex H.22Sep16,S1.E10,40000,2uM CCh,609.44140625,638.734375,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex H.22Sep16.S1.E10.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,37000.0,StimulusA,A,155,3561.500008367002,39828.900548793375,36828.900548793375
1,Neocortex H.22Sep16,S1.E12,40000,2uM CCh,795.76953125,825.0625,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex H.22Sep16.S1.E12.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,37000.0,StimulusA,A,203,3500.400007456541,39883.00054959953,36883.00054959953
1,Neocortex H.24Mar16,S1.E12,40000,2uM CCh,517.375,583.3984375,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 24 Mar 2016/Neocortex H.24Mar16.S1.E12.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,130,3282.8000042140484,39801.900548391044,36801.900548391044
1,Neocortex H.24Mar16,S1.E15,40000,2uM CCh,706.1796875,772.203125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 24 Mar 2016/Neocortex H.24Mar16.S1.E15.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,151,3277.8000041395426,39805.4005484432,36805.4005484432
1,Neocortex H.24Mar16,S1.E17,40000,2uM CCh,836.16796875,902.19140625,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 24 Mar 2016/Neocortex H.24Mar16.S1.E17.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,109,3386.4000057578087,39910.40055000782,36910.40055000782
1,Neocortex H.24Mar16,S1.E20,40000,2uM CCh,1015.90234375,1081.92578125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 24 Mar 2016/Neocortex H.24Mar16.S1.E20.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,155,3282.7000042125583,39824.30054872483,36824.30054872483
1,Neocortex H.25Feb16,S1.E18,50000,,1055.66796875,1176.94921875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex H.25Feb16.S1.E18.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,211,4331.100019834936,49958.20069973171,46958.20069973171
1,Neocortex H.25Feb16,S1.E19,50000,,1248.765625,1370.046875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex H.25Feb16.S1.E19.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,246,3631.0000094026327,49886.100698657334,46886.100698657334
1,Neocortex H.25Feb16,S1.E25,50000,,1926.4921875,2047.7734375,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 25 Feb 2016/Neocortex H.25Feb16.S1.E25.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,285,3458.900006838143,49919.30069915205,46919.30069915205
1,Neocortex H.30Nov18,S1.E4,25000,2uM CCh + 2/3uM ML297,280.45703125,372.6171875,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E4.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,51,4398.200005933642,24817.800310209394,20817.800310209394
1,Neocortex H.30Nov18,S1.E6,25000,2uM CCh + 2/3uM ML297,457.30078125,549.4609375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E6.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,62,4386.600005760789,24485.900305263698,20485.900305263698
1,Neocortex H.30Nov18,S1.E8,25000,2uM CCh + 2/3uM ML297,770.41796875,862.578125,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E8.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,74,4320.700004778802,24821.200310260057,20821.200310260057
1,Neocortex H.30Nov18,S1.E12,25000,2uM CCh + 2/3uM ML297,1230.171875,1322.33203125,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E12.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,83,4330.900004930794,24906.900311537087,20906.900311537087
1,Neocortex H.30Nov18,S1.E21,25000,2uM CCh + 2/3uM ML297,2204.6796875,2296.83984375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E21.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,97,4356.000005304813,24996.00031286478,20996.00031286478
1,Neocortex H.30Nov18,S1.E35,25000,2uM CCh + 2/3uM ML297,3784.44140625,3876.6015625,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E35.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,93,4333.300004966557,24761.000309363008,20761.000309363008
1,Neocortex H.30Nov18,S1.E42,25000,2uM CCh + 2/3uM ML297,4454.5859375,4546.74609375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S1.E42.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,98,4334.000004976988,24937.700311996043,20937.700311996043
1,Neocortex H.30Nov18,S2.E1,25000,2uM CCh + 2/3uM ML297,4850.17578125,4942.3359375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S2.E1.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,85,4410.300006113946,24978.6003126055,20978.6003126055
1,Neocortex H.30Nov18,S3.E1,25000,2uM CCh + 2/3uM ML297,6275.98828125,6368.1484375,"DAC0: PulseA -50 [200,1000];PulseB 200 [2000,4000];",/Volumes/Assets/Edward/Data/Traces/2018/11.November/Data 30 Nov 2018/Neocortex H.30Nov18.S3.E1.dat,1,True,200.0,1000.0,-50.0,2000.0,4000.0,200.0,pulseB,21000.0,StimulusA,A,77,4374.900005586445,24898.900311417878,20898.900311417878
